"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"477623","0","2"
"477623","1","3"
"477623","2","4"
"477638","0","1"
"504135","0","1"
"504135","1","3"
"506467","0","1"
"506467","1","2"
"509238","0","2"
"511410","0","1"
"511759","0","2"
"511809","0","1"
"512631","0","1"
"512709","0","1"
"512709","1","2"
"512709","2","3"
"512747","0","1"
"512747","1","2"
"512747","2","3"
"512747","3","4"
"523182","0","1"
"523182","1","2"
"466813","0","1"
"466813","1","2"
"466813","2","3"
"558463","0","1"
"558463","1","2"
"558463","2","3"
"558463","3","4"
"564794","0","1"
"564794","1","2"
"564794","2","3"
"564794","3","4"
"568055","0","1"
"568055","1","2"
"568055","2","3"
"568055","3","4"
"568058","0","1"
"568058","1","2"
"569495","0","2"
"569501","0","1"
"569557","0","2"
"569570","0","1"
"569572","0","1"
"573122","0","6"
"573136","0","1"
"576311","0","25"
"576311","1","2"
"576311","2","3"
"576311","3","4"
"592325","0","1"
"614622","0","1"
"614633","0","4"
"618646","0","1"
"614624","0","1"
"811962","0","3"
"811968","0","1"
"812043","0","1"
"825174","0","1"
"896250","0","1"
"351453","0","1"
"351453","1","2"
"351453","2","3"
"351453","3","4"
"586813","0","3"
"1128455","0","1"
"380514","0","2"
"523761","0","3"
"520529","0","1"
"1147356","0","1"
"414484","0","2"
"414484","1","3"
"1148112","0","1"
"1148116","0","1"
"436476","0","2"
"326301","0","1"
"280927","0","4"
"280927","1","3"
"482712","0","2"
"1174987","0","1"
"1176683","0","1"
"564809","0","1"
"564809","1","3"
"564809","2","4"
"564809","3","5"
"564809","4","6"
"1232237","0","1"
"1232237","1","2"
"1302351","0","1"
"1302355","0","1"
"154920","0","1"
"154920","1","2"
"298499","0","1"
"300594","0","1"
"1385421","0","2"
"1515896","0","1"
"273873","0","1"
"273873","1","4"
"276425","0","2"
"327956","0","1"
"471417","0","1"
"614627","0","2"
"506148","0","1"
"478134","0","1"
"1710732","0","1"
"1360468","0","1"
