"main.id","hpq_fudforsch_mem.id","fudforsch_mem_refno"
"317353","0","5"
"317414","0","4"
"317415","0","6"
"317419","0","6"
"317422","0","9"
"320540","0","3"
"320550","0","6"
"332524","0","3"
"332536","0","29"
"332536","1","30"
"337058","0","5"
"337093","0","10"
"339148","0","17"
"340192","0","3"
"340192","1","4"
"345221","0","6"
"345228","0","6"
"345230","0","6"
"350976","0","5"
"350990","0","3"
"350994","0","5"
"350995","0","5"
"379065","0","4"
"379080","0","3"
"379126","0","5"
"382763","0","5"
"382763","1","6"
"382780","0","5"
"392533","0","4"
"392533","1","5"
"404097","0","3"
"404097","1","5"
"479056","0","4"
"479077","0","3"
"479088","0","5"
"479132","0","3"
"479132","1","4"
"530441","0","3"
"539689","0","2"
"539689","1","3"
"544703","0","4"
"544721","0","5"
"544740","0","7"
"562954","0","3"
"643509","0","3"
"643509","1","4"
"198051","0","6"
"260091","0","3"
"314752","0","6"
"314752","1","7"
"316513","0","3"
"251193","0","4"
"1090195","0","3"
"1229127","0","3"
"1229136","0","6"
"1229348","0","6"
"748609","0","5"
"275701","0","2"
"229503","0","4"
"350951","0","3"
"350951","1","4"
"289960","0","4"
"226734","0","3"
"226910","0","7"
"228945","0","5"
"228947","0","5"
"228947","1","6"
"230304","0","4"
"231098","0","6"
"235267","0","4"
"235373","0","14"
"235452","0","6"
"235458","0","6"
"235506","0","4"
"237865","0","5"
"237865","1","4"
"243678","0","7"
"243751","0","5"
"243753","0","2"
"243792","0","3"
"243801","0","3"
"243804","0","7"
"244666","0","5"
"244666","1","6"
"244681","0","3"
"247764","0","5"
"247766","0","3"
"247769","0","3"
"247775","0","4"
"247802","0","3"
"247804","0","3"
"252626","0","4"
"252717","0","3"
"252736","0","5"
"255694","0","3"
"255714","0","4"
"255744","0","5"
"255751","0","5"
"255757","0","3"
"255763","0","6"
"255771","0","3"
"255775","0","4"
"255788","0","4"
"256682","0","3"
"259869","0","4"
"259901","0","2"
"259914","0","7"
"266088","0","6"
"272911","0","6"
"272952","0","5"
"272957","0","3"
"272965","0","8"
"272973","0","4"
"272975","0","4"
"274943","0","3"
"274948","0","5"
"274951","0","5"
"276177","0","6"
"282024","0","7"
"282037","0","3"
"282120","0","3"
"282148","0","5"
"282590","0","6"
"298012","0","9"
"298018","0","4"
"298019","0","4"
"298027","0","4"
"298033","0","4"
"298037","0","7"
"298042","0","3"
"315711","0","6"
"315744","0","3"
"315744","1","4"
"315745","0","4"
"315747","0","9"
"316024","0","4"
"316049","0","5"
"316084","0","3"
"316085","0","5"
"316087","0","4"
"329828","0","3"
"329830","0","2"
"329831","0","4"
"329835","0","5"
"329836","0","3"
"329841","0","5"
"329847","0","5"
"329912","0","3"
"330633","0","4"
"330634","0","6"
"330703","0","3"
"330713","0","4"
"336254","0","2"
"336263","0","4"
"336332","0","4"
"336343","0","3"
"336345","0","1413357751915"
"336353","0","4"
"337269","0","4"
"337274","0","4"
"337289","0","4"
"345013","0","6"
"351680","0","7"
"351712","0","4"
"351733","0","6"
"351733","1","7"
"351749","0","3"
"356801","0","3"
"356801","1","4"
"356817","0","2"
"356817","1","3"
"361727","0","4"
"361729","0","28"
"361740","0","3"
"361742","0","7"
"361744","0","6"
"361755","0","6"
"364858","0","5"
"370131","0","4"
"374765","0","5"
"374776","0","11"
"374782","0","5"
"381963","0","3"
"381979","0","3"
"382000","0","3"
"382000","1","4"
"382017","0","5"
"382019","0","4"
"382020","0","2"
"382020","1","3"
"382032","0","3"
"382037","0","3"
"382373","0","4"
"382394","0","4"
"382407","0","3"
"382458","0","4"
"382571","0","5"
"382581","0","9"
"382635","0","11"
"382639","0","7"
"382641","0","4"
"382643","0","1414628351469"
"382643","1","1414628351470"
"382645","0","5"
"382657","0","3"
"382657","1","4"
"382665","0","7"
"382667","0","3"
"382667","1","4"
"382669","0","4"
"382669","1","5"
"392177","0","4"
"392200","0","5"
"392213","0","2"
"392215","0","5"
"392215","1","6"
"392220","0","3"
"392261","0","3"
"392267","0","7"
"392278","0","6"
"392286","0","3"
"392440","0","5"
"392442","0","5"
"392448","0","4"
"392458","0","7"
"392472","0","4"
"407781","0","3"
"407789","0","4"
"407891","0","4"
"407918","0","3"
"420512","0","11"
"420512","1","12"
"420512","2","13"
"420543","0","6"
"420686","0","3"
"420686","1","4"
"420745","0","4"
"420756","0","3"
"420756","1","4"
"420756","2","5"
"420772","0","3"
"420772","1","7"
"420772","2","8"
"420789","0","3"
"420789","1","4"
"420789","2","5"
"420789","3","7"
"420803","0","2"
"420803","1","3"
"420818","0","20"
"420830","0","3"
"420830","1","7"
"420830","2","8"
"420836","0","5"
"420851","0","4"
"420878","0","7"
"420883","0","4"
"420883","1","5"
"420883","2","6"
"420891","0","2"
"421407","0","2"
"449252","0","10"
"449262","0","7"
"449286","0","5"
"449294","0","3"
"449310","0","6"
"449319","0","4"
"449319","1","3"
"449609","0","4"
"449609","1","5"
"449620","0","7"
"449620","1","6"
"449645","0","5"
"449678","0","4"
"449678","1","5"
