"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"312074","0","5","4","","2"
"312075","0","7","7","","1"
"312075","1","8","6","","1"
"312095","0","6","8","squid jig","1"
"312108","0","8","1","","1"
"312108","1","9","6","","1"
"312108","2","10","8","squid jig","1"
"312111","0","5","1","","1"
"312111","1","6","8","squid jig","1"
"312159","0","3","1","","2"
"312176","0","7","1","","1"
"312176","1","8","6","","1"
"312185","0","4","6","","1"
"312201","0","3","6","","1"
"314253","0","5","6","","2"
"314259","0","7","1","","2"
"314260","0","7","1","","2"
"314265","0","7","1","","1"
"314265","1","8","6","","1"
"314271","0","4","6","","2"
"314276","0","6","1","","2"
"314280","0","4","1","","2"
"314281","0","5","1","","1"
"314282","0","1410686490752","1","","2"
"314286","0","4","1","","1"
"314288","0","7","1","","1"
"314288","1","8","6","","1"
"314292","0","1410746086253","1","","1"
"314292","1","1410746086254","6","","1"
"314295","0","1410746086250","1","","1"
"314297","0","1410746086251","1","","2"
"314300","0","1410746086252","1","","1"
"314302","0","7","1","","1"
"314308","0","5","1","","2"
"314314","0","4","1","","2"
"314315","0","6","1","","2"
"314325","0","9","1","","2"
"314337","0","6","6","","2"
"314579","0","7","8","timba","1"
"315891","0","21","6","","2"
"315916","0","5","7","","2"
"316229","0","21","1","","1"
"316230","0","9","1","","2"
"316235","0","9","1","","2"
"316236","0","13","1","","1"
"316237","0","15","6","","1"
"316237","1","16","8","pana","1"
"316244","0","13","1","","1"
"317021","0","15","1","","1"
"317021","1","16","6","","2"
"317069","0","13","1","","1"
"317069","1","14","6","","1"
"317096","0","11","1","","1"
"317142","0","15","1","","1"
"317156","0","5","1","","2"
"317234","0","14","1","","2"
"321856","0","1412040314564","1","","2"
"321862","0","1412040314560","1","","1"
"321866","0","1412040314561","1","Galunggong","2"
"321881","0","5","1","","1"
"321881","1","6","6","","1"
"321895","0","6","1","","2"
"321899","0","5","1","","1"
"321901","0","3","1","","2"
"321906","0","7","1","","1"
"321908","0","17","1","","2"
"321910","0","7","1","","1"
"321913","0","10","6","","1"
"321914","0","9","6","","2"
"321916","0","5","1","","1"
"321916","1","6","6","","1"
"321918","0","7","1","","2"
"321923","0","9","6","","1"
"321928","0","4","1","","1"
"321949","0","9","1","","1"
"321949","1","10","6","","1"
"321951","0","21","1","Galunggong","2"
"321961","0","9","1","","2"
"321961","1","10","6","","2"
"321965","0","15","1","","2"
"321966","0","4","1","","1"
"321968","0","9","1","","2"
"321971","0","7","1","","2"
"321986","0","28","1","","2"
"329428","0","1413279456455","1","","2"
"329431","0","1411955386749","1","","2"
"329436","0","1413279456472","1","","2"
"329437","0","1413279456454","1","","2"
"329439","0","1413279456466","1","","2"
"329472","0","1413279456457","1","","2"
"329480","0","1413279456459","1","","2"
"335893","0","7","6","","1"
"336874","0","11","6","","1"
"336874","1","12","3","","1"
"336877","0","5","6","","1"
"336878","0","2","6","","2"
"336884","0","5","6","","1"
"336902","0","10","6","","1"
"336924","0","21","6","","1"
"336924","1","22","1","","2"
"336926","0","4","6","","2"
"344572","0","14","8","pana","1"
"344572","1","19","8","sugpaw","1"
"351861","0","15","6","","2"
"392703","0","15","1","","1"
"392703","1","16","2","","1"
"392703","2","17","6","","1"
"392797","0","4","1","","2"
"392797","1","5","6","","2"
"394279","0","6","1","","2"
"394279","1","7","6","","2"
"394411","0","16","1","","1"
"394411","1","17","6","","1"
"394476","0","7","1","","2"
"394499","0","8","1","","1"
"394499","1","9","6","","1"
"394589","0","5","2","","1"
"394589","1","6","3","","1"
"394589","2","7","6","","1"
"394594","0","5","1","","2"
"394594","1","6","2","","2"
"394594","2","7","3","","1"
"394594","3","8","6","","2"
"404736","0","14","1","","2"
"404737","0","9","8","sagpaw","1"
"404740","0","9","2","","1"
"404740","1","10","8","tangkab","1"
"446729","0","3","6","","1"
"446729","1","4","1","","1"
"446887","0","5","6","","2"
"452581","0","6","8","tangkab","1"
"471767","0","6","8","tangkab","2"
"471767","1","7","1","","1"
"471772","0","4","8","tangkab","2"
"471772","1","5","1","","2"
"2447580","0","7","1","","2"
"2447580","1","8","2","","2"
"2447580","2","9","5","","2"
"2448115","0","5","6","","1"
"2448119","0","5","6","","1"
"2448119","1","6","1","","1"
"2448123","0","8","1","","2"
"2448124","0","8","1","","1"
"2448128","0","3","6","","1"
"2448151","0","13","1","","1"
"2448160","0","5","6","","1"
"169657","0","6","1","","1"
"171434","0","13","1","","1"
"171447","0","3","2","","1"
"171494","0","6","1","","1"
"171523","0","13","1","","2"
"171530","0","10","1","","2"
"171552","0","5","1","","1"
