"main.id","hpq_fudforwrk_mem.id","fudforwrk_mem_refno"
"1741971","0","1"
"1741973","0","2"
"1741975","0","1"
"1741978","0","1"
"1741986","0","1"
"1741990","0","1"
"1741996","0","1"
"1742012","0","2"
"1742019","0","2"
"1742020","0","1"
"1742022","0","1"
"1742023","0","2"
"1742024","0","2"
"1742025","0","3"
"1742027","0","1"
"1742029","0","1"
"1742034","0","3"
"1742035","0","2"
"1742039","0","2"
"1742040","0","4"
"1742041","0","2"
"1742042","0","2"
"1742044","0","4"
"1742046","0","1"
"1768351","0","1"
"1768353","0","1"
"1768355","0","1"
"1768356","0","1"
"1768358","0","1"
"1768359","0","1"
"1768361","0","2"
"1768362","0","2"
"1768365","0","2"
"1787668","0","1"
"1787765","0","2"
"1787767","0","2"
"1787768","0","2"
"1787769","0","2"
"1787774","0","1"
"1822143","0","1"
"1822144","0","3"
"1822150","0","1"
"1822165","0","1"
"1822167","0","1"
"1822187","0","1"
"1822196","0","1"
"1822199","0","1"
"1822201","0","1"
"1822207","0","1"
"1822210","0","1"
"1822211","0","1"
"1822212","0","1"
"1822213","0","1"
"1822214","0","1"
"1822215","0","1"
"1822216","0","1"
"1822419","0","1"
"1822419","1","2"
"1822419","2","3"
"1822419","3","4"
"1822420","0","1"
"1822435","0","1"
"1823493","0","1"
"1823495","0","1"
"1823499","0","2"
"1823500","0","1"
"1823502","0","1"
"1823510","0","5"
"1823515","0","1"
"1823516","0","1"
"1823517","0","2"
"1823520","0","1"
"1823526","0","1"
"1823527","0","1"
"1823528","0","1"
"2098708","0","3"
"2098718","0","1433064139441"
"2098718","1","1433064139441"
"2098720","0","1433064139441"
"2098721","0","1433064139441"
"2098723","0","1433064139442"
"2098724","0","1433064139442"
"2098727","0","1433064139446"
"2098729","0","1433064139448"
"2098730","0","1433064139449"
"2098732","0","1"
"2098734","0","1433064139452"
"2098736","0","1433064139452"
"2098739","0","1433064139452"
"2098742","0","1433064139453"
"2098744","0","1433064139453"
"2098745","0","1433064139453"
"2098748","0","1433064139454"
"2098749","0","1"
"2098750","0","1"
"2098751","0","1"
"2098753","0","1"
"2102203","0","2"
"2102206","0","7"
"2102206","1","8"
"2102206","2","9"
"2102206","3","10"
"2102211","0","2"
"2105257","0","1"
"2105257","1","2"
"2105267","0","1"
"2105285","0","1"
"2105288","0","1"
"2105383","0","2"
"2105393","0","1"
"2105991","0","1"
"2105995","0","1"
"2106025","0","1"
"2106029","0","50"
"2106179","0","1"
"2106384","0","1"
"2106467","0","1"
"2192992","0","6"
"2193009","0","1"
"2193179","0","1"
"2193189","0","1"
"2193189","1","1424273641521"
"2368491","0","1"
"2368494","0","1"
"2368495","0","1"
"2368496","0","2"
"2368504","0","3"
"2368509","0","1"
"2368517","0","1"
"2368518","0","2"
"2368527","0","2"
"2368533","0","1"
"2368536","0","5"
"2368544","0","1"
"2368546","0","1"
"2368547","0","1"
"2368547","1","2"
"2368547","2","3"
"2368547","3","4"
"2368548","0","2"
"2368551","0","2"
"2368552","0","2"
"2368555","0","1"
"2368556","0","2"
"2368558","0","2"
"2368559","0","1"
"2368560","0","1"
"2368561","0","3"
"2368562","0","1"
"2368563","0","2"
"2368565","0","1"
"2368568","0","4"
"2368576","0","1"
"2368587","0","1"
"2368588","0","1"
"2368591","0","1"
"2368592","0","2"
"2368597","0","2"
"2368614","0","1"
"2368619","0","2"
"2368620","0","2"
"2368621","0","2"
"2368639","0","1"
"2368641","0","2"
"2368642","0","2"
"2368646","0","1"
"2368648","0","1"
"2368649","0","2"
"2368658","0","2"
"2368671","0","1"
"2368672","0","1"
"2368674","0","1"
"2368675","0","3"
"2368677","0","1"
"2368678","0","1"
"2368680","0","1"
"2368681","0","2"
"2368682","0","2"
"2368721","0","2"
"2368725","0","1"
"2368725","1","2"
"2368726","0","1"
"2368728","0","1"
"2368729","0","1"
"2368731","0","2"
"2368737","0","1"
"2368749","0","2"
"2368750","0","2"
"2368751","0","2"
"2368752","0","1"
"2368754","0","1"
"2368758","0","1"
"2368767","0","2"
"2368774","0","1"
"2368776","0","1"
"2368779","0","2"
"2368800","0","2"
"2368823","0","3"
"2368825","0","2"
"2368828","0","7"
"2368848","0","3"
"2368854","0","1"
"2368855","0","3"
"2368856","0","2"
"2368857","0","9"
"2368934","0","1"
"2369059","0","2"
"2369062","0","2"
"2369248","0","1"
"2537492","0","2"
"2537521","0","2"
"2537523","0","2"
"2537525","0","2"
"2537556","0","2"
"2537558","0","2"
"2537618","0","2"
"2537629","0","1"
"2537928","0","2"
"2537953","0","1"
"2582974","0","1"
"2589525","0","1"
"2589525","1","2"
"2589538","0","1"
"2589664","0","1"
"2589672","0","1"
"2589676","0","1"
"2589896","0","2"
"2589902","0","1"
"2589914","0","1"
