"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"243339","0","4","6","Bisugo","1000"
"243340","0","8","6","Bisugo","0"
"243347","0","6","6","Haba","50"
"243347","1","7","6","Galongong","100"
"243351","0","7","6","Galongong","10000"
"243352","0","7","6","galongong","1000"
"243372","0","4","6","Galongong","1000"
"244547","0","7","6","snail","300"
"244547","1","8","6","paros","250"
"245081","0","12","6","pangaluan","200"
"245082","0","16","6","pangaluan","200"
"245099","0","7","6","galunggong","35"
"245106","0","16","6","pangaluan","80"
"245121","0","5","6","pangaluan","70"
"245376","0","4","6","tulingan","200"
"245380","0","72","6","tulingan","200"
"245396","0","26","6","tulingan","200"
"245396","1","27","6","pusit","3"
"245408","0","14","6","maya Maya","50"
"245422","0","8","6","flying fish","200"
"245422","1","9","6","tulingan","300"
"245452","0","4","6","flying fish","30"
"245452","1","5","6","dalag","15"
"245465","0","10","6","galunggong","20"
"245465","1","11","6","tulingan","50"
"245485","0","10","6","dilis","500"
"245485","1","11","6","tulingan","200"
"245490","0","7","6","dilis","150"
"245490","1","8","6","tulingan","50"
"245507","0","16","6","tingin","20"
"247241","0","21","4","","3"
"247244","0","16","4","","5"
"247252","0","22","2","","3"
"247845","0","20","6","haba","50"
"247845","1","21","6","tilis","70"
"247846","0","7","6","seaweed","150"
"247846","1","8","6","suso","75"
"247846","2","9","6","tilis","6"
"247944","0","7","6","pusit","1"
"247960","0","19","6","pusit","150"
"247961","0","23","6","pusit","150"
"247962","0","22","6","maryano","20"
"247962","1","23","6","galunggong","50"
"247962","2","24","6","pusit","75"
"247966","0","6","6","tulingan","10"
"247966","1","7","6","pusit","240"
"247967","0","9","6","pusit","360"
"247968","0","4","6","samaral","20"
"247968","1","5","6","patuna","40"
"247969","0","11","6","pusit","20"
"247969","1","12","6","maryano","20"
"247969","2","13","6","karpa","10"
"248006","0","9","6","pusit","8"
"250576","0","8","6","squid","500"
"250576","1","9","6","samaral","700"
"250577","0","11","6","sigapo","240"
"250578","0","8","6","samaral","50"
"250581","0","5","6","squid","100"
"250581","1","6","6","tambakol","100"
"250582","0","4","6","tambakol","50"
"250583","0","4","6","tambakol","100"
"250584","0","6","6","bisugo","100"
"250586","0","20","6","bisugo","150"
"250587","0","5","6","buraw","150"
"250588","0","3","6","bisugo","60"
"250589","0","9","6","bisugo","150"
"250590","0","6","6","tambakol","200"
"250591","0","5","6","bisugo","200"
"250592","0","16","6","squid","300"
"250594","0","7","6","tambakol","200"
"250601","0","5","6","tambakol","500"
"250602","0","9","6","samaral","200"
"250603","0","9","6","tambakol","1000"
"250604","0","7","6","buraw","100"
"250605","0","7","6","bisugo","300"
"250606","0","12","6","isdang bato","500"
"250608","0","7","6","samaral","500"
"250609","0","11","6","samaral","1000"
"250609","1","12","6","squid","1500"
"250610","0","3","6","samaral","50"
"250611","0","4","6","squid","108"
"250612","0","7","6","tambakol","300"
"251790","0","6","4","","23600"
"251790","1","7","3","","32000"
"251790","2","8","5","","26000"
"252215","0","8","6","mariano","150"
"252270","0","1411189590874","6","Galunggong","78"
"252282","0","1411189590881","6","Galunggong","30"
"252285","0","1411189590886","6","Galunggong","40"
"252292","0","12","6","Galunggong","86"
"252293","0","21","6","Galunggong","70"
"252294","0","14","6","Galunggong","80"
"262194","0","16","6","Galongong","1000"
"262199","0","8","6","haba","360"
"262205","0","6","6","Galongong","1000"
"262205","1","7","6","bisugo","650"
"262208","0","4","6","Galongong","1500"
"262212","0","10","6","Banahan","1000"
"262217","0","6","6","Pusit","1000"
"262227","0","6","6","Galongong","1000"
"263597","0","18","6","shrimp","168"
"263598","0","16","6","flying fish","1500"
"263599","0","8","6","shrimp","150"
"263600","0","5","6","Samaral","35"
"263606","0","11","6","shrimp","200"
"263609","0","8","6","shrimp","120"
"263612","0","4","6","shrimp","200"
"263619","0","8","6","shrimp","200"
"263621","0","8","6","tilis","500"
"263623","0","13","6","punaw","300"
"263625","0","6","6","punaw","500"
"263627","0","9","6","shrimp","500"
"263631","0","10","6","tilis","500"
"263635","0","10","6","shrimp","500"
"263637","0","10","6","shrimp","500"
"263639","0","8","6","shrimp","500"
"263640","0","8","6","shrimp","600"
"263641","0","5","6","shrimp","300"
"263643","0","6","6","shrimp","200"
"263644","0","5","6","shrimp","100"
"263645","0","20","6","shrimp","500"
"263652","0","10","6","shrimp","50"
"266181","0","16","6","dilis","1500"
"266181","1","17","6","galunggong","1000"
"266181","2","18","6","tulingan","500"
"266193","0","7","6","pangaluan","30"
"266193","1","8","6","Maya maya","20"
"266209","0","7","6","dilis","1000"
"266209","1","8","6","galunggong","300"
"266209","2","9","6","tulingan","150"
"266222","0","7","6","dilis","800"
"266222","1","8","6","tulingan","200"
"266227","0","5","6","dilis","800"
"266227","1","6","6","tulingan","100"
"266240","0","6","6","dilis","800"
"266240","1","7","6","tulingan","300"
"266242","0","10","6","dilis","1000"
"266242","1","11","6","tulingan","200"
"266242","2","12","6","gulyasan","100"
"266244","0","9","6","dilis","800"
"266244","1","10","6","pusit","100"
"266244","2","11","6","flying fish","300"
"266244","3","12","6","tulingan","200"
"266248","0","7","6","dilis","1500"
"266248","1","8","6","tulingan","200"
"266248","2","9","6","gulyasan","100"
"266248","3","10","6","pusit","100"
"266262","0","7","6","dilis","1000"
"266262","1","8","6","galunggong","300"
"266262","2","9","6","tulingan","300"
"266269","0","11","6","dilis","800"
"266269","1","12","6","flying fish","500"
"266269","2","13","6","tulingan","300"
"266273","0","8","6","dilis","800"
"266273","1","9","6","tulingan","100"
"266273","2","10","6","flying fish","200"
"266278","0","9","6","tulingan","200"
"266278","1","10","6","flying fish","300"
"266282","0","5","6","dalagang bukid","30"
"266370","0","17","6","flying fish","150"
"266370","1","18","6","tulingan","150"
"266378","0","55","6","magudlong","15"
"266378","1","56","6","hiwas","15"
"266449","0","9","6","tulingan","100"
"270016","0","4","6","pusit","20"
"270033","0","9","6","pusit","360"
"270035","0","10","6","pusit","100"
"270045","0","8","6","tulingan","50"
"270045","1","9","6","pusit","25"
"270050","0","11","6","kanupig","40"
"270050","1","12","6","balungoy","70"
"270050","2","13","6","pusit","500"
"270056","0","8","6","pusit","1000"
"270056","1","9","6","tanasya","50"
"270059","0","12","6","pusit","200"
"270073","0","5","6","matambaka","0"
"270073","1","6","6","galungong","0"
"270105","0","4","6","sigapo","10"
"270105","1","5","6","tingin","50"
"270109","0","18","6","hipon","15"
"270109","1","19","6","galunggong","20"
"270129","0","10","6","galunggong","150"
"270129","1","11","6","tulingan","100"
"270214","0","9","6","lumahan","200"
"270214","1","10","6","manitis","150"
"270274","0","8","6","tulingan","100"
"270274","1","9","6","bangus","450"
"270301","0","11","6","bangus","100"
"270301","1","12","6","tulingan","150"
"272824","0","10","6","yellowpin","900"
"272826","0","10","6","yellowpin","300"
"272850","0","21","6","yellowpin    ","480"
"272873","0","12","6","yellowpin","150"
"272885","0","10","6","yellowpin","150"
"274482","0","11","6","samaral","160"
"274482","1","12","6","bunak","100"
"274483","0","12","6","kanuping","300"
"274675","0","8","6","pusit","1792"
"274677","0","11","6","kanuping","500"
"274697","0","7","6","Blue marlin","71"
"274697","1","8","6","tuna","40"
"274697","2","9","6","tulingan","30"
"274697","3","10","6","lapu-lapu","7"
"274697","4","11","6","pulahan","10"
"274699","0","7","6","flying fish","50"
"274701","0","6","6","tulingan","150"
"274701","1","7","6","gulyasan","100"
"274705","0","11","6","tulingan","500"
"274707","0","6","6","galunggong","200"
"274709","0","12","6","bursa","300"
"274716","0","9","6","tulingan","1500"
"274716","1","10","6","lumahan","1800"
"274716","2","11","6","galunggong","1700"
"274718","0","7","6","talakitok","50"
"274718","1","8","6","butiki","45"
"274718","2","9","6","dilawan","28"
"274722","0","14","6","talakitok","20"
"274722","1","15","6","Pulahan","43"
"274722","2","16","6","kanuping","32"
"274726","0","7","6","kanuping","576"
"274728","0","6","6","flying fish","730"
"274728","1","7","6","kanuping","500"
"274729","0","7","6","barungoy","300"
"274729","1","8","6","hamalit","500"
"274731","0","21","6","haba","1150"
"274732","0","12","6","Flying fish","800"
"274732","1","13","6","bisugo","1000"
