"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"118179","1","7","6","Ngirit ngirit","1000"
"118180","0","9","6","Bisogo","650"
"118180","1","10","6","Ngirit ngirit","250"
"118181","0","14","6","Bisogo","2000"
"118181","1","50","6","isdang bato","200"
"118182","0","7","6","Bisogo","1500"
"118182","1","8","6","Ngirit ngirit","150"
"118182","2","9","6","Suno","30"
"118185","0","9","6","bisogo","1000"
"118185","1","10","6","Ngirit ngirit","1000"
"118185","2","11","6","lapu lapu","1000"
"118185","3","12","6","suno","40"
"118185","4","13","6","leyen","500"
"118187","0","11","6","Bisogo","1500"
"118187","1","12","6","Ngirit ngirit","600"
"118187","2","13","6","lapu lapu","500"
"118187","3","14","6","sabong sabong","300"
"118187","4","15","6","suno","30"
"118188","0","9","6","Bisogo","400"
"118188","1","10","6","Rompi","100"
"118188","2","11","6","Ill","50"
"118188","3","12","6","Bulang bulang","500"
"118188","4","13","6","Lapu lapu","100"
"118188","5","14","6","Barang bang","500"
"118188","6","15","6","Aloy","500"
"118189","0","17","6","Bisogo","600"
"118189","1","18","6","Ngirit ngirit","500"
"118189","2","19","6","leyen","300"
"118189","3","20","6","Suno","30"
"118189","4","21","6","siga","300"
"118190","0","28","6","Leyen","250"
"118190","1","29","6","isdang bato","650"
"120191","0","22","6","Isdang Bato","750"
"120192","0","16","6","Suno","100"
"120192","1","17","6","Isdang Bato","800"
"120209","0","8","6","Isdang bato","150"
"120209","1","9","6","Bisugo","750"
"120210","0","9","6","le'yen","400"
"120210","1","10","6","Kuti kuti","300"
"120213","0","11","6","Isdang bato","500"
"120215","0","9","6","Suno","100"
"120215","1","50","6","isdang bato","750"
"120218","0","10","6","Isdang Bato","200"
"120218","1","11","6","Karatkat","100"
"120218","2","12","6","Kuti kuti","200"
"120219","0","6","6","Suno","20"
"120219","1","51","6","isdang bato","150"
"120220","0","7","6","Suno","23"
"120220","1","57","6","isdang bato","100"
"120222","0","11","6","Suno","25"
"120224","0","7","6","suno","25"
"120225","0","7","6","Suno","25"
"120226","0","4","6","Lagaw","60"
"120227","0","4","6","isdang bato","450"
"120228","0","8","6","Bisugo","1050"
"120229","0","8","6","Bisugo","500"
"120229","1","9","6","Lapu lapu","20"
"120230","0","8","6","Bisugo","500"
"120231","0","11","3","","35"
"120231","1","12","6","Isdang Bato","30"
"120232","0","11","6","Bisugo","350"
"120233","0","6","6","Suno","20"
"120235","0","9","6","Isdang bato","100"
"120235","1","32","6","Suno","50"
"120236","0","11","3","","150"
"120236","1","12","6","Bisugo","500"
"120237","0","6","6","Suno","35"
"120238","0","8","6","Bisugo","50"
"120239","0","7","6","Isdang Bato","250"
"120240","0","10","3","","350"
"120240","1","11","6","Bisugo","700"
"120241","0","7","6","Bisugo","750"
"120242","0","8","6","Bisugo","1070"
"120243","0","14","3","","350"
"120243","1","15","6","Bisugo","500"
"120244","0","28","3","","120"
"120244","1","29","6","Suno","19"
"120245","0","10","6","Bisugo","850"
"120649","0","15","6","bisugo","1500"
"120650","0","10","6","bisugo","1025"
"120704","0","10","6","bisugo","1025"
"121521","0","9","6","bisugo","150"
"121521","1","10","6","Salay- salay","150"
"122443","0","9","6","Isdang bato","350"
"122504","0","13","6","Ngirit ngirit","50"
"122504","1","14","6","Karatkat","100"
"122505","0","208","6","Bisugo","50"
"122505","1","209","6","Lapu lapu","10"
"122506","0","5","6","Salaysalay","75"
"122506","1","6","6","Tarakitek","75"
"122508","0","5","6","Suno","15"
"122508","1","6","6","Tarakitek","150"
"122509","0","9","6","Karatkat","75"
"122511","0","40","6","isdang bato","1250"
"122512","0","8","6","isdang bato","950"
"122513","0","13","6","suno","23"
"122513","1","42","6","isdang bato","120"
"122514","0","6","6","bisugo","480"
"122515","0","8","6","suno","56"
"122519","0","10","6","bisugo","1025"
"122520","0","10","6","bisugo","1250"
"122521","0","11","6","suno","40"
"122521","1","51","6","isdang bato","1050"
"122524","0","13","6","Amurok","35"
"122524","1","14","6","Bararawan","50"
"122525","0","13","6","bisugo","1250"
"122526","0","7","6","isdang bato","1020"
"122527","0","48","6","suno","57"
"122527","1","67","6","isdang bato","300"
"122528","0","9","6","bisugo","1250"
"122529","0","6","6","bisugo","980"
"122530","0","10","6","suno","34"
"122530","1","21","6","isdang bato","500"
"122531","0","8","6","suno","34"
"122531","1","25","6","bisugo","870"
"122533","0","37","6","isdang bato","1250"
"122535","0","12","6","bisugo","1200"
"122536","0","13","6","suno","54"
