"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"1768450","0","4"
"1768450","1","5"
"1814457","0","3"
"1816160","0","1"
"1816163","0","1"
"1816163","1","2"
"1816163","2","4"
"1816167","0","3"
"1816167","1","4"
"1816167","2","1"
"1816173","0","1"
"1816173","1","2"
"1816173","2","3"
"1816173","3","4"
"1816173","4","5"
"1816175","0","1"
"1816175","1","2"
"1816175","2","3"
"1816175","3","4"
"1816176","0","1"
"1816176","1","2"
"1816176","2","3"
"1816178","0","1"
"1816182","0","2"
"1816182","1","3"
"1816182","2","4"
"1816182","3","2"
"1816210","0","1"
"1816210","1","2"
"1816210","2","3"
"1816210","3","4"
"1816210","4","5"
"1816210","5","6"
"1816212","0","1"
"1816212","1","2"
"1816212","2","3"
"1816214","0","1"
"1816214","1","2"
"1816214","2","3"
"1816214","3","4"
"1816214","4","5"
"1816228","0","1"
"1816228","1","3"
"1816228","2","4"
"1816228","3","5"
"1816228","4","6"
"1816240","0","1"
"1816240","1","4"
"1816240","2","5"
"1816240","3","6"
"1816245","0","1"
"1816245","1","4"
"1816246","0","1"
"1816246","1","5"
"1816253","0","1"
"1816253","1","4"
"1816253","2","5"
"1816253","3","6"
"1816253","4","7"
"1816253","5","8"
"1816253","6","9"
"1816253","7","10"
"1816253","8","11"
"1816253","9","12"
"1816258","0","1"
"1816258","1","3"
"1816258","2","4"
"1816258","3","5"
"1816258","4","6"
"1816270","0","1"
"1816270","1","2"
"1816270","2","3"
"1816270","3","4"
"1816270","4","5"
"1816270","5","6"
"1816270","6","19"
"1816270","7","20"
"1843993","0","1"
"1843994","0","10"
"1844023","0","2"
"1844026","0","1"
"1844432","0","1"
"1844432","1","3"
"1844432","2","4"
"1890598","0","3"
"1890598","1","4"
"1890603","0","2"
"1890609","0","2"
"1890634","0","1"
"1890635","0","2"
"1890644","0","2"
"1890644","1","3"
"1890651","0","2"
"1890651","1","3"
"1890651","2","4"
"1890654","0","1"
"1890659","0","3"
"1890664","0","2"
"1890679","0","2"
"1890685","0","2"
"1890715","0","2"
"1890729","0","1"
"1890733","0","1"
"1890733","1","5"
"1917245","0","1"
"1918303","0","1"
"1918304","0","1"
"1918306","0","2"
"1918307","0","1"
"1992508","0","1"
"1992508","1","2"
"1992508","2","3"
"1992508","3","4"
"1994895","0","1"
"1994895","1","2"
"1994895","2","3"
"1994895","3","4"
"1994895","4","5"
"1994895","5","6"
"1994903","0","1"
"1994903","1","2"
"1994903","2","3"
"1994903","3","4"
"1994913","0","5"
"1994924","0","1"
"1994924","1","2"
"1994924","2","3"
"1994924","3","5"
"1994924","4","4"
"1994929","0","1"
"1994929","1","2"
"1994929","2","3"
"1994929","3","4"
"1994965","0","1"
"1994965","1","2"
"1994965","2","3"
"1994969","0","2"
"1994969","1","3"
"1994969","2","4"
"1994969","3","5"
"1994969","4","6"
"1994985","0","1"
"1994985","1","4"
"1995014","0","1"
"1995014","1","2"
"1995014","2","3"
"1995014","3","4"
"2079652","0","1"
"2089741","0","2"
"2089743","0","1"
"2089743","1","3"
"2089743","2","4"
"2089743","3","2"
"2197347","0","1"
"2197347","1","2"
"2197390","0","1"
"2197390","1","2"
"2197390","2","3"
"2197390","3","4"
"2197390","4","5"
"2214521","0","1"
"2214535","0","1"
"2214535","1","2"
"2214535","2","3"
"2214814","0","1"
"2229819","0","1"
"2229819","1","5"
"2229819","2","6"
"2231383","0","1"
"2231383","1","2"
"2231383","2","3"
"2231401","0","1"
"2231402","0","2"
"2231405","0","1"
"2231405","1","2"
"2231405","2","3"
"2231405","3","4"
"2231405","4","5"
"2231405","5","6"
"2231408","0","1"
"2231408","1","2"
"2231408","2","3"
"2231408","3","4"
"2231410","0","1"
"2231410","1","2"
"2231410","2","3"
"2231410","3","4"
"2231430","0","3"
"2231430","1","2"
"2231431","0","1"
"2231433","0","1"
"2231435","0","1"
"2231442","0","2"
"2231443","0","1"
"2231443","1","2"
"2231451","0","1"
"2231455","0","1"
"2231455","1","2"
"2231457","0","1"
"2231461","0","3"
"2231461","1","4"
"2214514","0","1"
"2239110","0","3"
"2239112","0","1"
"2239113","0","1"
