"main.id","hpq_fudforsch_mem.id","fudforsch_mem_refno"
"257394","0","5"
"257394","1","4"
"257664","0","5"
"257664","1","6"
"257669","0","6"
"257677","0","3"
"257677","1","4"
"288181","0","4"
"288185","0","4"
"299147","0","4"
"299149","0","4"
"299985","0","3"
"299985","1","4"
"299998","0","7"
"299998","1","8"
"300013","0","5"
"300184","0","6"
"300184","1","7"
"300185","0","6"
"300185","1","7"
"300185","2","8"
"300380","0","8"
"300612","0","6"
"300643","0","4"
"300643","1","5"
"300643","2","6"
"300644","0","3"
"300728","0","5"
"300796","0","5"
"300796","1","6"
"300796","2","4"
"300796","3","3"
"300807","0","3"
"300807","1","4"
"572441","0","4"
"572441","1","5"
"572441","2","6"
"572441","3","7"
"572443","0","4"
"572446","0","6"
"572446","1","7"
"572446","2","8"
"572446","3","9"
"572446","4","10"
"572446","5","11"
"572447","0","6"
"572447","1","7"
"572447","2","8"
"572447","3","9"
"572448","0","3"
"572450","0","3"
"572452","0","3"
"572452","1","4"
"572452","2","5"
"572454","0","3"
"572454","1","4"
"572454","2","5"
"572456","0","3"
"572456","1","4"
"572457","0","3"
"572457","1","4"
"572457","2","5"
"572459","0","4"
"572459","1","5"
"572460","0","3"
"572460","1","4"
"572461","0","3"
"572463","0","3"
"572464","0","5"
"572464","1","6"
"572466","0","4"
"572470","0","3"
"572470","1","4"
"572471","0","3"
"572471","1","4"
"572472","0","6"
"572472","1","7"
"572472","2","8"
"572475","0","4"
"572478","0","3"
"572478","1","4"
"572478","2","5"
"572479","0","5"
"572479","1","6"
"572479","2","8"
"572479","3","8"
"572481","0","3"
"572481","1","4"
"572486","0","8"
"572486","1","9"
"572487","0","4"
"572487","1","5"
"572487","2","6"
"572489","0","5"
"572489","1","6"
"591415","0","7"
"591418","0","5"
"591419","0","6"
"591419","1","7"
"591425","0","3"
"591425","1","4"
"591425","2","5"
"591430","0","3"
"591438","0","5"
"591438","1","6"
"591445","0","3"
"591445","1","4"
"591453","0","6"
"591489","0","3"
"591489","1","4"
"591489","2","5"
"591490","0","3"
"591491","0","4"
"591491","1","9"
"591497","0","5"
"591497","1","6"
"591498","0","6"
"591498","1","7"
"591498","2","8"
"591498","3","9"
"591507","0","3"
"591507","1","4"
"591513","0","5"
"591519","0","3"
"591519","1","4"
"591528","0","3"
"605611","0","6"
"605883","0","3"
"605889","0","6"
"605889","1","7"
"605893","0","6"
"605893","1","7"
"605895","0","4"
"605898","0","5"
"605898","1","6"
"605899","0","3"
"605900","0","3"
"605908","0","5"
"605911","0","3"
"605911","1","4"
"605928","0","3"
"605928","1","4"
"605928","2","5"
"605929","0","3"
"605929","1","4"
"605931","0","4"
"605934","0","4"
"605934","1","5"
"605934","2","6"
"605962","0","9"
"605965","0","6"
"692985","0","3"
"816104","0","3"
"816109","0","3"
"963985","0","7"
"963985","1","8"
"1091709","0","5"
"1091710","0","4"
"1091710","1","5"
"1091713","0","4"
"1091723","0","4"
"1091729","0","5"
"1125580","0","6"
"1184600","0","1430016654916"
"1184601","0","3"
"1184601","1","4"
"1200204","0","3"
"1200204","1","4"
"1200497","0","3"
"1200498","0","5"
"1200498","1","4"
"1269250","0","7"
"1269252","0","5"
"1269253","0","4"
"1269254","0","6"
"1269255","0","9"
"1269256","0","2"
"1269256","1","3"
"1269257","0","3"
"1269258","0","6"
"1269283","0","7"
"1269408","0","6"
"1269408","1","7"
"1269409","0","3"
"1269410","0","3"
"1269420","0","5"
"1269422","0","4"
"1269428","0","3"
"1269434","0","3"
"1269434","1","4"
"1269435","0","3"
"1269436","0","7"
"1269444","0","5"
"1269453","0","4"
"1269479","0","6"
"1269480","0","4"
"1269483","0","3"
"1269488","0","3"
"1269491","0","7"
"1269502","0","7"
"1269509","0","5"
"1269514","0","7"
"1277747","0","6"
"1298446","0","6"
"1428893","0","9"
"1493863","0","4"
"1493863","1","5"
"1493863","2","6"
"1508307","0","7"
"1508307","1","8"
"1508395","0","3"
"1528089","0","1430016654914"
"1545235","0","6"
"81942","0","4"
"110076","0","8"
"110076","1","9"
"110084","0","8"
"110084","1","9"
"110097","0","8"
"110097","1","7"
"110097","2","9"
"110110","0","5"
"110110","1","6"
"110116","0","7"
"110345","0","8"
"110345","1","9"
"110346","0","6"
"110346","1","7"
"110346","2","8"
"110349","0","4"
"110349","1","5"
"110349","2","6"
"110351","0","5"
"110353","0","7"
"110354","0","5"
"110358","0","5"
