"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"120218","0","8","6","","1"
"120218","1","9","8","Kiming","1"
"120219","0","5","6","","1"
"120220","0","6","6","","1"
"120222","0","10","6","","1"
"120224","0","6","6","","1"
"120225","0","6","6","","1"
"120226","0","3","8","Timing","2"
"120227","0","3","8","Timing","1"
"120228","0","6","8","Timing","1"
"120229","0","6","8","kiming","1"
"120229","1","7","6","","1"
"120230","0","7","8","Timing","1"
"120231","0","10","6","","1"
"120232","0","10","8","Timing","1"
"120233","0","5","6","","1"
"120235","0","28","6","","1"
"120235","1","29","8","Timing","1"
"120235","2","30","8","Pataw pataw","1"
"120235","3","31","8","Kitang","1"
"120236","0","10","6","","1"
"120237","0","5","6","","1"
"120238","0","7","8","Timing","1"
"120239","0","6","6","","1"
"120240","0","9","6","","1"
"120241","0","6","6","","1"
"120242","0","7","8","Kitang","1"
"120243","0","13","8","Kitang","1"
"120244","0","26","6","","1"
"120244","1","27","1","","1"
"120245","0","9","8","Kitang","1"
"120649","0","14","6","","1"
"120650","0","9","6","","1"
"120704","0","9","6","","1"
"121521","0","8","6","","1"
"122443","0","8","8","Kitang","1"
"122504","0","12","6","","1"
"122505","0","207","6","","1"
"122506","0","4","1","","1"
"122508","0","4","6","","1"
"122509","0","8","6","","1"
"122511","0","38","1","","1"
"122511","1","39","6","","1"
"122512","0","7","6","","1"
"122513","0","12","6","","1"
"122514","0","5","6","","1"
"122515","0","7","6","","1"
"122519","0","9","6","","1"
"122520","0","9","6","","1"
"122521","0","10","6","","1"
"122524","0","12","6","","1"
"122525","0","14","6","","1"
"122526","0","6","6","","1"
"122527","0","47","6","","1"
"122528","0","8","6","","1"
"122529","0","5","6","","1"
"122530","0","9","6","","1"
"122531","0","7","6","","1"
"122533","0","36","1","","1"
"122535","0","11","6","","1"
"122536","0","12","6","","1"
"122537","0","40","6","","1"
"122538","0","6","6","","1"
"122540","0","12","6","","1"
"122541","0","7","6","","1"
"122544","0","3","1","","1"
"122545","0","6","6","","1"
"122566","0","14","6","","1"
"122569","0","10","6","","1"
"122570","0","4","6","","1"
"122598","0","13","6","","1"
"123153","0","6","6","","1"
"123157","0","23","6","","1"
"123159","0","60","6","","1"
"123160","0","18","6","","1"
"123161","0","51","6","","1"
"123162","0","32","6","","1"
"123163","0","43","6","","1"
"123168","0","13","6","","1"
"123169","0","18","6","","1"
"124119","0","27","6","","1"
"124121","0","12","6","","1"
"124122","0","71","6","","1"
"124129","0","13","6","","1"
"124135","0","8","8","Latak","1"
"124135","1","9","6","","1"
"124208","0","11","1","","1"
"124217","0","267","1","","1"
"124217","1","268","6","","1"
"124218","0","16","1","","1"
"124218","1","17","6","","1"
"124218","2","18","8","Latak","1"
"124219","0","5","6","","1"
"124221","0","13","6","","1"
"124222","0","7","6","","1"
"124223","0","3","6","","1"
"124224","0","10","6","","1"
"124228","0","5","6","","1"
"124230","0","2","6","","1"
"133680","0","9","8","Bekas bekas","1"
"133680","1","10","8","Sigpao","1"
"133681","0","15","1","","1"
"133683","0","3","6","","1"
"133685","0","22","6","","1"
"133687","0","6","6","","1"
"133689","0","14","6","","1"
"133690","0","179","6","","1"
"133691","0","9","6","","1"
"133692","0","11","1","","1"
"133694","0","14","6","","1"
"133696","0","11","1","","1"
"133700","0","9","6","","1"
"133701","0","10","1","","1"
"133704","0","15","1","","1"
"133707","0","15","1","","1"
"133708","0","9","1","","1"
"133709","0","15","1","","1"
"133716","0","2","1","","1"
"136703","0","7","3","","1"
"136713","0","9","6","","1"
"136714","0","17","3","","1"
"136774","0","6","6","","1"
"136774","1","7","6","","1"
"136812","0","6","6","","2"
"136813","0","16","6","","1"
"136814","0","9","1","","2"
"136831","0","7","6","","1"
"136836","0","20","1","","1"
"136841","0","7","1","","1"
"136843","0","6","6","","1"
"137759","0","9","1","","1"
"137759","1","10","6","","1"
"137760","0","4","1","","1"
"137760","1","5","6","","1"
"137761","0","7","1","","1"
"137761","1","8","6","","1"
"137764","0","5","1","","1"
"137764","1","6","6","","1"
"139274","0","4","8","Kitang","1"
"139279","0","25","1","","1"
"141010","0","15","1","","2"
"141015","0","3","6","","1"
"141016","0","5","6","","1"
"141018","0","10","6","","1"
"141019","0","11","1","","1"
"141022","0","6","1","","1"
"141024","0","8","1","","1"
"141025","0","8","6","","1"
"143710","0","6","1","","1"
"143711","0","22","6","","1"
"143714","0","7","1","","1"
"143715","0","5","1","","1"
"143717","0","14","1","","1"
"143932","0","30","1","","1"
"143934","0","12","1","","1"
"144001","0","9","3","","1"
"162432","0","4","1","","1"
"162435","0","8","1","","1"
"162438","0","7","6","","1"
"162439","0","6","1","","1"
"162443","0","3","6","","1"
"162444","0","13","6","","1"
"162501","0","5","6","","1"
"162509","0","11","1","","1"
"165580","0","4","6","","1"
"165591","0","21","6","","1"
"165597","0","10","1","","1"
"168344","0","9","6","","1"
"168345","0","4","6","","1"
"168359","0","11","6","","1"
"168360","0","11","1","","1"
"168360","1","12","6","","1"
"168360","2","13","7","","1"
"168362","0","4","6","","1"
"168363","0","10","6","","1"
"168375","0","5","1","","1"
"168375","1","6","6","","1"
"168382","0","6","6","","1"
"168397","0","22","1","","1"
"168397","1","23","6","","1"
"168398","0","19","6","","2"
"168398","1","20","1","","2"
"168481","0","10","6","","2"
"168482","0","17","6","","1"
"168482","1","18","1","","1"
"168523","0","3","6","","1"
"168524","0","9","6","","1"
"171271","0","6","8","Fish Net","1"
"171271","1","12","6","","1"
"171272","0","5","6","Pambaot","2"
"171272","1","16","1","","1"
"171274","0","8","6","Pamboat","1"
"171275","0","7","6","Pamboat","1"
"171276","0","2","6","","1"
"171277","0","5","6","","2"
"171279","0","4","6","","1"
"171280","0","9","6","","1"
"171281","0","2","6","","1"
"171284","0","8","6","","1"
"171285","0","7","6","","1"
"171286","0","5","6","","2"
"171286","1","11","1","","1"
"171287","0","7","6","","1"
"173023","0","5","6","","1"
"173026","0","20","1","","1"
"173026","1","21","6","","1"
"173036","0","7","6","","2"
"173195","0","21","1","","1"
"173195","1","22","6","","1"
"173196","0","5","1","","2"
"173196","1","6","6","","1"
"220428","0","101","1","","1"
"220428","1","102","6","","1"
"220433","0","4","1","","1"
"220434","0","14","1","","1"
"220446","0","4","6","","1"
"220446","1","5","1","","1"
"220447","0","7","6","","1"
"220451","0","6","6","","1"
"220453","0","1408949786936","6","","1"
"220454","0","9","6","","1"
